AI_extracted_product,purchase_count,promotion_count,longchau_matches,top_longchau_matches
Pectol,4,1,4,pectol te sagopha 90ml; pectol-e sagopha 90ml; pectolvan ivy farmak 100ml - siro ho cho người lớn và trẻ em
Canxi Nano D3 K2 MK7,0,1,31,"viên uống bổ sung canxi giúp xương chắc khỏe nutrigrow nutrimed 60v; ống uống canxi-d3-k2 kingphar 6x5 ống; viên uống bổ sung canxi, giảm nguy cơ loãng xương calcium premium jpanwell 120v"
Vitamin D3,2,2,132,"bổ sung vitamin d3 hỗ trợ xương, răng d3 drops dao nordic health 10ml; viên uống bổ sung vitamin và khoáng chất easylife immuvita 100v; viên sủi kudos kids multivitamins plus calcium & d3 hương dưa hấu 20v"
Methorphan,6,1,4,methorphan traphaco 100ml; methorphan traphaco 2x10; dextromethorphan 15mg tipharco 10x10
Sắt + Acid Folic,0,1,34,"ống uống bổ sung sắt feginic 4x5 ống 5ml; viên uống hỗ trợ người bị gout, chỉ số acid uric cao-gout aid vitamins for life 30v; viên uống giúp giảm acid uric trong máu, giảm sưng đau khớp do gout uricare jpanwell 60v"
Strepsils,10,1,12,viên ngậm strepsils maxpro 2x8; viên ngậm strepsils throat and cough 2x12; viên ngậm strepsils soothing honey and lemon 2x12
Loratadin,0,1,9,loratadin 10mg traphaco 1x10; a.t desloratadin 2.5mg an thiên 30 ống x 5ml; a.t desloratadin 2.5mg an thiên 60ml
Canxi,0,1,10,"viên uống bổ sung canxi giúp xương chắc khỏe nutrigrow nutrimed 60v; ống uống canxi-d3-k2 kingphar 6x5 ống; viên uống bổ sung canxi, giảm nguy cơ loãng xương calcium premium jpanwell 120v"
Gaviscon,9,1,2,gaviscon dual action 24 gói x 10ml; gaviscon 24 gói x 10ml
Ích Nhi,2,0,124,ginkid thanh nhiệt mát gan 4x5 ống 10ml; viên uống bổ não ích trí gold 60v; viên sủi thanh nhiệt livecool hương chanh 16v
Magnesium B6,8,0,6,calcium magnesium zinc natures bounty 100v; brauer baby kids liquid calcium with magnesium and zinc 200ml; aktiv magnesium + calcium + d3 doppelherz 3x10
Zinc Gluconate,7,0,30,"ginkid zinc 4x5 ống 5ml - bổ sung kẽm, tăng đề kháng; calcium magnesium zinc natures bounty 100v; siro bổ sung kẽm cho bé special kid zinc eric favre 125ml"
Smecta,4,1,4,smecta orange & vanilla ipsen 10 gói; smecta orange 3g ipsen 30 gói; smectago 3g ipsen 12 gói
Canesten,7,1,5,canesten cream 1% bayer 5g; canesten cream 1% 20g; canesten 100mg 6-days-therapy bayer 1x6
