product_id,product_name,product_name_original,brand,category,subcategory,sku,price,price_unit,dosage_form,ingredients,specification,is_active,source_database,ai_extracted_product,has_ai_match,ai_match_confidence,total_quantity_purchased,purchase_frequency,avg_quantity_per_purchase,avg_purchase_price,min_purchase_price,max_purchase_price,pharmacies,first_purchase_date,last_purchase_date,promotion_programs,promotion_categories,promotion_count,has_purchase_data,has_promotion_data,data_completeness_score
LC_00047382,"BỔ SUNG VITAMIN D3 HỖ TRỢ XƯƠNG, RĂNG D3 DROPS DAO NORDIC HEALTH 10ML","BỔ SUNG VITAMIN D3 HỖ TRỢ XƯƠNG, RĂNG D3 DROPS DAO NORDIC HEALTH 10ML",DAO Nordic Health,Thực phẩm chức năng,Cải thiện tăng cường chức năng,00047382,270000.0,Hộp,Dung dịch,Vitamin D3 10mcg,Hộp,True,Long Chau,Vitamin D3,True,1.0,262,2,131.0,325614.5,152329,498900,"Nhà thuốc Gia Hân, Nhà thuốc Trung Sơn",15/02/2025,31/08/2025,"Cứ 3 tặng 1 cùng loại (33%); Mua 10 tặng 1, áp dụng cho đơn hàng từ 3 triệu trở lên","Khác, Vitamin & Khoáng chất",2,True,True,1.0
LC_00045954,VIÊN UỐNG BỔ SUNG VITAMIN VÀ KHOÁNG CHẤT EASYLIFE IMMUVITA 100V,VIÊN UỐNG BỔ SUNG VITAMIN VÀ KHOÁNG CHẤT EASYLIFE IMMUVITA 100V,EASYLIFE,Thực phẩm chức năng,Vitamin & Khoáng chất,00045954,390000.0,Hộp,Viên nén,"Canxi hydrogen phosphat , Magie oxide , Canxi carbonat , Vitamin C , Vitamin E , Niacin , Sắt fumarate , Panthothenic Acid , Lutein , Vitamin A , Đồng sulfat , Kẽm (kẽm oxit) , Mangane Sulphate , Vitamin D3 , Vitamin B6 , Vitamin K1 , Vitamin B2 , Vitamin B1 , Coenzyme Q10 , Vitamin B12 , Folic Acid , Crom (III) Chloride , Kali lodide , Natri Molybdate , Natri selenite , Biotin ",Hộp 100 Viên,True,Long Chau,Vitamin D3,True,1.0,262,2,131.0,325614.5,152329,498900,"Nhà thuốc Gia Hân, Nhà thuốc Trung Sơn",15/02/2025,31/08/2025,"Cứ 3 tặng 1 cùng loại (33%); Mua 10 tặng 1, áp dụng cho đơn hàng từ 3 triệu trở lên","Khác, Vitamin & Khoáng chất",2,True,True,1.0
LC_00040073,VIÊN UỐNG HÕ TRỢ PHỤ NỮ MANG THAI VÀ PHỤ NỮ CHO CON BÚ BRAUER ULTRA PURE DHA FOR PREGNANCY & BREASTFEEDING 60V,VIÊN UỐNG HÕ TRỢ PHỤ NỮ MANG THAI VÀ PHỤ NỮ CHO CON BÚ BRAUER ULTRA PURE DHA FOR PREGNANCY & BREASTFEEDING 60V,Brauer,Thực phẩm chức năng,Vitamin & Khoáng chất,00040073,550000.0,Hộp,Viên nang mềm,"Omega-3 triglycerides từ dầu cá cô đặc 638.3mg, Kẽm glycinat 17.7mg, Chiết xuất hoa cúc vạn thọ 6.86mg, Lutein 515mcg, Colecalciferol 5mcg",Hộp 60 Viên,True,Long Chau,DHA,True,1.0,571,6,95.17,260824.17,130615,482228,"Nhà thuốc Tâm Đức, Nhà thuốc Phúc An, Nhà thuốc Long Châu, Nhà thuốc An Khang",07/09/2025,21/08/2025,"Cứ 2 hộp tặng 5 hộp DHA 1 vỉ (26.3%), tối đa",Khác,1,True,True,1.0
LC_00039928,VIÊN SỦI KUDOS KIDS MULTIVITAMINS PLUS CALCIUM & D3 HƯƠNG DƯA HẤU 20V,VIÊN SỦI KUDOS KIDS MULTIVITAMINS PLUS CALCIUM & D3 HƯƠNG DƯA HẤU 20V,KUDOS,Thực phẩm chức năng,Vitamin & Khoáng chất,00039928,159000.0,Tuýp,Viên sủi,"Calci carbonat 200mg, Vitamin C 80mg, Niacin 15mg ne, Vitamin E 12mg α-te, Acid pantothenic 6mg, Vitamin B6 1.4mg, Vitamin B2 1.4mg, Vitamin B1 1.1mg, Vitamin A 500mcg re, Acid folic 200mcg, Biotin 50mcg, Vitamin D3 5mcg, Vitamin B12 2.5mcg",Tuýp 20 Viên,True,Long Chau,Vitamin D3,True,1.0,262,2,131.0,325614.5,152329,498900,"Nhà thuốc Gia Hân, Nhà thuốc Trung Sơn",15/02/2025,31/08/2025,"Cứ 3 tặng 1 cùng loại (33%); Mua 10 tặng 1, áp dụng cho đơn hàng từ 3 triệu trở lên","Khác, Vitamin & Khoáng chất",2,True,True,1.0
LC_00502520,VIÊN XƯƠNG KHỚP TRIPLE STRENGTH GLUCOSAMINE 1500MG PHARMEKAL 60V,VIÊN XƯƠNG KHỚP TRIPLE STRENGTH GLUCOSAMINE 1500MG PHARMEKAL 60V,Pharmekal,Thực phẩm chức năng,Hỗ trợ điều trị,00502520,326000.0,Hộp,Viên nén,"Glucosamine Hydrochloride 1500mg, MSM 500mg, Collagen type I&III 400mg, Stearic acid , Magnesium stearate , Silicon Dioxyde , Croscamello Sodium , Chondroitin sulfate 100mg, Vitamin D3 400iu",Hộp 60 Viên,True,Long Chau,Glucosamine,True,1.0,270,4,67.5,336999.75,175318,481817,"Nhà thuốc Minh Châu, Nhà thuốc Tâm Đức, Nhà thuốc Phúc An, Nhà thuốc An Khang",02/01/2025,28/05/2025,"Tích điểm 5% + hỗ trợ POSM (poster,",Khác,1,True,True,1.0
LC_00500791,VIÊN UỐNG TĂNG ĐỀ KHÁNG MULTIVITAMIN +ZN +D3 ROYAL CARE 60V,VIÊN UỐNG TĂNG ĐỀ KHÁNG MULTIVITAMIN +ZN +D3 ROYAL CARE 60V,Royal Care,Thực phẩm chức năng,Vitamin & Khoáng chất,00500791,175000.0,Hộp,Viên nang cứng,"Vitamin B1 10mg, Vitamin C 200mg, Aquamin F 50mg, Kẽm Gluconat 35mg, Đông trùng hạ thảo 35mg, Magnesium oxide 30mg, Thái tử sâm 15mg, Vitamin E 15mg, Vitamin PP 10mg, Iron ferronyl 9mg, Vitamin H 200mcg, Vitamin B6 3mg, Vitamin B5 3mg, Mangan gluconat 1mg, Crom picolinat 0.1mg, Selen 2000ppm 1000mcg, Vitamin K 1000mcg, Vitamin B9 400mcg, Vitamin B12 5mcg, Vitamin A 500iu, Vitamin D3 400iu, Vitamin B2 3mg",Hộp 60 Viên,True,Long Chau,Multivitamin,True,1.0,1327,11,120.64,219462.55,35047,488203,"Nhà thuốc An Khang, Nhà thuốc Tâm Đức, Nhà thuốc Minh Châu, Nhà thuốc Phúc An, Nhà thuốc Gia Hân, Nhà thuốc Hoa Sen",04/05/2025,27/04/2025,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Khác,1,True,True,1.0
LC_00032918,VIÊN UỐNG BỔ XƯƠNG KHỚP GLUCOSAMINE AND CHONDROITIN JPANWELL 120V,VIÊN UỐNG BỔ XƯƠNG KHỚP GLUCOSAMINE AND CHONDROITIN JPANWELL 120V,Jpanwell,Thực phẩm chức năng,Hỗ trợ điều trị,00032918,960000.0,Hộp,Viên nang,"Canxi từ vỏ sò 200mg, Glucosamine 1600mg, Collagen 100mg, Chondroitin 31.6mg, Collagen type II 12mg, Hyaluronic acid 4mg, Vitamin B12 2.08mg, Vitamin B1 2.08mg, Elastin 2mg",Hộp 120 Viên,True,Long Chau,Glucosamine,True,1.0,270,4,67.5,336999.75,175318,481817,"Nhà thuốc Minh Châu, Nhà thuốc Tâm Đức, Nhà thuốc Phúc An, Nhà thuốc An Khang",02/01/2025,28/05/2025,"Tích điểm 5% + hỗ trợ POSM (poster,",Khác,1,True,True,1.0
LC_00030788,VIÊN UỐNG BỔ KHỚP VITATREE GLUCOSAMINE 1500 PLUS SHARK CARTILAGE 100V,VIÊN UỐNG BỔ KHỚP VITATREE GLUCOSAMINE 1500 PLUS SHARK CARTILAGE 100V,Vitatree,Thực phẩm chức năng,Hỗ trợ điều trị,00030788,643000.0,Hộp,Viên nén,"bột sụn vi cá mập 250mg, Glucosamine Hydrochloride 1500mg",Hộp 100 viên,True,Long Chau,Glucosamine,True,1.0,270,4,67.5,336999.75,175318,481817,"Nhà thuốc Minh Châu, Nhà thuốc Tâm Đức, Nhà thuốc Phúc An, Nhà thuốc An Khang",02/01/2025,28/05/2025,"Tích điểm 5% + hỗ trợ POSM (poster,",Khác,1,True,True,1.0
LC_00502062,NƯỚC UỐNG COLLAGEN JPANWELL HANA COLLA Q10 10 CHAI X 50ML,NƯỚC UỐNG COLLAGEN JPANWELL HANA COLLA Q10 10 CHAI X 50ML,Jpanwell,Thực phẩm chức năng,Hỗ trợ làm đẹp,00502062,970000.0,Hộp,Dung dịch uống,"Bột chiết xuất hoa Anh đào 50mg, Coenzym Q10 200mg, N-Acetylglucosamine 300mg, Vitamin C 300mg, Peptide collagen cá 5000mg",Hộp 10 Chai x 50ml,True,Long Chau,Collagen,True,1.0,1635,16,102.19,240264.94,47059,491883,"Nhà thuốc Gia Hân, Nhà thuốc Tâm Đức, Nhà thuốc Trung Sơn, Nhà thuốc An Khang, Nhà thuốc Phúc An, Nhà thuốc Long Châu, Nhà thuốc Minh Châu, Nhà thuốc Hoa Sen",03/05/2025,26/03/2025,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm; Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm,Khác,2,True,True,1.0
LC_00028829,VITAMIN D3+ DHA HATRO 20ML,VITAMIN D3+ DHA HATRO 20ML,Hatro,Thực phẩm chức năng,Vitamin & Khoáng chất,00028829,320000.0,Hộp,Dung dịch,"Vitamin D3 400iu, Dầu cá 400mg, Vitamin E 5iu",Hộp x 20ml,True,Long Chau,DHA,True,1.0,571,6,95.17,260824.17,130615,482228,"Nhà thuốc Tâm Đức, Nhà thuốc Phúc An, Nhà thuốc Long Châu, Nhà thuốc An Khang",07/09/2025,21/08/2025,"Cứ 2 hộp tặng 5 hộp DHA 1 vỉ (26.3%), tối đa",Khác,1,True,True,1.0
