count,sku,name,web_name,slug,price,price_unit,currency_symbol,image_url,ingredients,dosage_form,brand,specification,category_names,category_slugs,is_active,is_publish,search_scoring,product_ranking,link,category,skip_count
1,00049008,GEL GIẢM MỤN - CERAVE BLEMISH CONTROL 15ML,"Gel giảm mụn Cerave Blemish Control 15ml giúp giảm mụn và hỗ trợ thu nhỏ lỗ chân lông, cấp ẩm nhẹ",duoc-my-pham/gel-giam-mun-cerave-blemish-control-15-ml.html,179000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07418_8dd6892977.png,"Aqua/Water/EAU , Glycerin , Sodium hydroxide , Glycolic acid , Salicylic acid , Niacinamide , Hydroxypropyl guar , Xanthan gum , Chlorphenesin , Sodium hyaluronate , SODIUM LAUROYL LACTYLATE , Ceteraryl Alcohol , Behentrimonium Methosulfate , Ceramide NP , Triethyl citrate , Caprylyl glycol , Ceramide AP , Phytosphingosine , Cholesterol , Carbomer , Benzoic Acid , CERAMIDE EOP ",Gel,Cerave,Hộp x 15ml,"Dược mỹ phẩm | Giải pháp làn da | Kem hỗ trợ giảm mụn, gel hỗ trợ giảm mụn",duoc-my-pham | duoc-my-pham/giai-phap-lan-da | duoc-my-pham/da-mun,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/gel-giam-mun-cerave-blemish-control-15-ml.html,duoc-my-pham,0
2,00047450,"DẦU DỪA TƯƠI RAW VIRGIN COCONUT OIL COBOTE DƯỠNG ẨM, CHỐNG HĂM, CHĂM SÓC RĂNG MIỆNG 50ML","Dầu dừa tươi Raw Virgin Coconut Oil Cobote dưỡng ẩm, chống hăm, chăm sóc răng miệng (50ml)",duoc-my-pham/dau-dua-tuoi-raw-virgin-coconut-oil-cobote-100-ml-duong-am-da-duong-toc-cham-soc-rang-mieng.html,90000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02414_3aeccebf39.jpg,Cocos nucifera Oil ,Dung dịch,COBOTE,Hộp,Dược mỹ phẩm | Chăm sóc cơ thể,duoc-my-pham | duoc-my-pham/cham-soc-co-the,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/dau-dua-tuoi-raw-virgin-coconut-oil-cobote-100-ml-duong-am-da-duong-toc-cham-soc-rang-mieng.html,duoc-my-pham,0
3,00046582,"SỮA RỬA MẶT THẢO DƯỢC SẮC NGỌC KHANG GIÚP SÁNG DA, MỜ SẠM 100G","Sữa rửa mặt thảo dược Sắc Ngọc Khang giúp sáng da, mờ sạm (100g)",duoc-my-pham/sua-rua-mat-thao-duoc-sang-da-mo-sam-sac-ngoc-khang-100-g-1.html,69000.0,Tuýp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04752_6e1556d733.jpg,"Aqua , Acrylates Copolymer , Potassium Laurate , Cocamido Propyl Belaine , Sodium laurilsulfate , Propanediol , Glycerin ",Dung dịch,SẮC NGỌC KHANG,Tuýp,"Dược mỹ phẩm | Chăm sóc da mặt | Sữa rửa mặt (Kem, gel, sữa)",duoc-my-pham | duoc-my-pham/cham-soc-da-mat | duoc-my-pham/sua-rua-mat-kem-gel-sua,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/sua-rua-mat-thao-duoc-sang-da-mo-sam-sac-ngoc-khang-100-g-1.html,duoc-my-pham,0
4,00046405,"GEL BÔI DECUMAR ADVANCE THC GIẢM MỤN, NGỪA THÂM 20G","Gel bôi Decumar Advance THC giảm mụn, ngừa thâm (20g)",duoc-my-pham/gel-cham-mun-mo-tham-decumar-advance-thc-20-g-new.html,105000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09447_7213e71ebf.jpg,"Purified water , Niacinamide , Glycerin , Water , Allium Cepa Bulb Extract , Sodium benzoate , Potassium sorbate , Propylene glycol , Peg-40 Hydrogenated Castor Oil , triethanolamine , Glycerin Backhousia Citriodora Leaf Extract , Tetrahydrocurcumin ",Gel,DECUMAR,Hộp,Dược mỹ phẩm | Chăm sóc cơ thể,duoc-my-pham | duoc-my-pham/cham-soc-co-the,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/gel-cham-mun-mo-tham-decumar-advance-thc-20-g-new.html,duoc-my-pham,0
5,00046403,"DUNG DỊCH VỆ SINH BÉ GÁI BIMUNICA  KHÁNG KHUẨN, BẢO VỆ VÙNG KÍN 250ML","Dung dịch vệ sinh bé gái Bimunica kháng khuẩn, bảo vệ vùng kín (250ml)",duoc-my-pham/dung-dich-ve-sinh-bimunica-250-ml-danh-cho-be-gai.html,230000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09568_adc7da8783.jpg,"Aqua , Cocamidopropyl , Betaine , Sodium Coco-sulfate , Coco-Glucoside , Glycerin , Citrus Unshiu Peel Extract , Inulin , Alpha-Glucan Oligosaccharide , Allantoin , Aloe (aloe barbadensis) , Gossypium Herbaceum extract , Chamomilla Recutita Flower extract ",,BIMUNICA,Chai,Dược mỹ phẩm | Chăm sóc cơ thể,duoc-my-pham | duoc-my-pham/cham-soc-co-the,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/dung-dich-ve-sinh-bimunica-250-ml-danh-cho-be-gai.html,duoc-my-pham,0
6,00046383,SỮA TẮM GỘI EM BÉ BABY GENTLE WASH 500ML,"Sữa tắm gội em bé Gentle Wash 500ml La Beauty giảm và ngăn ngừa rôm sảy, hăm da ",duoc-my-pham/sua-tam-goi-em-be-baby-gentle-wash-500-ml.html,159000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09206_f5fa18ab1d.png,"Water , Cocamidopropyl betaine , Disodium Laureth Sulfosuccinate , Decyl glucoside , Peg-120 Methyl Glucose Dioleate , Glycerin , Olive Oil PEG-7 Esters , Hydroxypropyl bis-hydroxyethyldimonium chloride , Coriandrum Sativum Flower , Sodium Benzoat Piper Betle , Centella Asiatica Extract , Butylene glycol , Fragrance , EDTA ",,La Beauty,Chai,"Dược mỹ phẩm | Chăm sóc cơ thể | Sữa tắm, xà bông",duoc-my-pham | duoc-my-pham/cham-soc-co-the | duoc-my-pham/sua-tam-xa-bong,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/sua-tam-goi-em-be-baby-gentle-wash-500-ml.html,duoc-my-pham,0
7,00045933,"KEM GIẢM THÂM VÙNG NÁCH, MÔNG, BIKINI NEOTHERA ARMPIT CREAM 35ML","Kem giảm thâm vùng nách, mông, bikini Neothera Armpit Cream La Beaute 35ml dưỡng trắng da",duoc-my-pham/kem-giam-tham-vung-nach-mong-bikini-neothera-armpit-cream-35-ml.html,152000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09383_341ff381a1.jpg,"Aqua , Isopropyl myristate , Propylene glycol , Oryza Sativa (Rice) Bran , Niacinamide , Ceteth-20 , Cetyl alcohol , Glyceryl stearate , Steareth-20 , Peg-75 Stearate , Glycerin , Polyacrylate Crosspolymer-11 ",,La Beauty,Hộp,Dược mỹ phẩm | Chăm sóc cơ thể,duoc-my-pham | duoc-my-pham/cham-soc-co-the,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/kem-giam-tham-vung-nach-mong-bikini-neothera-armpit-cream-35-ml.html,duoc-my-pham,0
8,00045724,GEL RỬA MẶT SVR SEBIACLEAR MOUSSANT LÀM SẠCH VÀ GIẢM DẦU CHO DA DẦU 200ML,Gel rửa mặt SVR Sebiaclear Moussant làm sạch và giảm dầu cho da dầu (200ml),duoc-my-pham/gel-lam-sach-va-loai-bo-te-bao-chet-khong-chua-xa-phong-svr-sebiaclear-gel-moussant-200-ml-new.html,390000.0,Tuýp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05449_a1d9fce6f5.jpg,"Aqua , Glycerin , Gluconolactone , Decyl glucoside , DISODIUM COCOCYL GLUTAMATE , Coco-betaine , Salicylic acid , Acrylates/C10-C30 Alkyl Acrylate Crosspolymer , Sodium hydroxide , Parfum (Fragrance) ",,SVR,Tuýp,Dược mỹ phẩm | Chăm sóc cơ thể,duoc-my-pham | duoc-my-pham/cham-soc-co-the,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/gel-lam-sach-va-loai-bo-te-bao-chet-khong-chua-xa-phong-svr-sebiaclear-gel-moussant-200-ml-new.html,duoc-my-pham,0
9,00045253,"BỌT VỆ SINH NAM SUMELY MEN'S SANITARY FOAM LÀM SẠCH, KHỬ VÀ NGĂN MÙI, HƯƠNG THƠM MÁT 100ML","Bọt vệ sinh nam Sumely Men's Sanitary Foam làm sạch, khử và ngăn mùi, hương thơm mát (100ml)",duoc-my-pham/bot-ve-sinh-nam-gioi-lam-sach-khu-va-ngan-mui-thom-mat-sumely-men-s-sanitary-foam-100-ml.html,130000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02435_46062321f2.jpg,"Aqua , Glycerin , Ammonium Lauryl Sulfate , PEG-60 Hydrogenated castor oil , Allantoin , Panthenol , Lactic Acid , Aloe barbadensis leaf extract , Camellia Sinensis Leaf Extract , Sodium Citrate , Disodium EDTA , Citric Acid , Ethylhexylglycerin , Phenoxyethanol , Potassium sorbate , Sodium benzoate , Parfum ",Dạng bọt,SUMELY,Hộp,"Dược mỹ phẩm | Chăm sóc cơ thể | Lăn khử mùi, xịt khử mùi",duoc-my-pham | duoc-my-pham/cham-soc-co-the | duoc-my-pham/khu-mui,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/bot-ve-sinh-nam-gioi-lam-sach-khu-va-ngan-mui-thom-mat-sumely-men-s-sanitary-foam-100-ml.html,duoc-my-pham,0
10,00044805,SỮA RỬA MẶT ON: THE BODY RICE THERAPY RICE HEARTLEAF ACNE CLEANSER CHIẾT XUẤT LÁ DIẾP CÁ CHO DA MỤN 150ML,Sữa rửa mặt On: The Body Rice Therapy Rice Heartleaf Acne Cleanser chiết xuất lá diếp cá cho da mụn (150ml),duoc-my-pham/sua-rua-mat-chiet-xuat-tu-la-diep-ca-cho-da-mun-on-the-body-rice-therapy-rice-heartleaf-acne-cleanser-150-ml.html,165000.0,Tuýp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04690_0c95c36f49.jpg,"Water , Glycerin , Myristic acid , Stearic acid , Lauric Acid , Potassium Cocoyl Glycinate , Potassium hydroxide , Glycol Distearate , Acrylates Copolymer , Butylene glycol , Disodium Cocoamphodiacetate , Lauryl Hydroxysultaine , Fragrance ",,ON: THE BODY,Tuýp,"Dược mỹ phẩm | Chăm sóc da mặt | Sữa rửa mặt (Kem, gel, sữa)",duoc-my-pham | duoc-my-pham/cham-soc-da-mat | duoc-my-pham/sua-rua-mat-kem-gel-sua,True,True,110,0,https://nhathuoclongchau.com.vn/duoc-my-pham/sua-rua-mat-chiet-xuat-tu-la-diep-ca-cho-da-mun-on-the-body-rice-therapy-rice-heartleaf-acne-cleanser-150-ml.html,duoc-my-pham,0
