count,sku,name,web_name,slug,price,price_unit,currency_symbol,image_url,ingredients,dosage_form,brand,specification,category_names,category_slugs,is_active,is_publish,search_scoring,product_ranking,link,category,skip_count
1,00049347,CỐM VI SINH BỔ SUNG LỢI KHUẨN ĐƯỜNG RUỘT LACTO BIOMIN GOLD+ NEW HDPHARMA 20 GÓI X 5G,Cốm vi sinh bổ sung lợi khuẩn đường ruột Lacto Biomin Gold+ New Hdpharma (20 gói x 5g),thuc-pham-chuc-nang/com-vi-sinh-bo-sung-loi-khuan-duong-ruot-lacto-biomin-gold-new-hdpharma-20-goi-x-5-g.html,149000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_9747_0837e2146a.png,"Balcillus clausii 1.5108cfu, Bacillus subtilis 10^8CFU, Bacillus coagulans 1.5x10^8cfu, Inulin 200mg, Canxi gluconat 100mg, L-Lysine hydrochloride 80mg, Taurine 20mg, Betaglucan 80% 15mg, Sắt III Hydroxide Polymaltose complex 15mg, Vitamin B3 4mg, Thymomodulin 5mg, Magie gluconat 3mg, Kẽm Gluconat 3mg, Vitamin B5 2mg, Vitamin B1 1.5mg, Vitamin B2 1.5mg, Vitamin B6 1.5mg, Mangan sulfat 1.5mg",Cốm,Hdpharma,Hộp 20 Gói x 5g,Thực phẩm chức năng | Hỗ trợ tiêu hóa,thuc-pham-chuc-nang | thuc-pham-chuc-nang/ho-tro-tieu-hoa,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/com-vi-sinh-bo-sung-loi-khuan-duong-ruot-lacto-biomin-gold-new-hdpharma-20-goi-x-5-g.html,thuc-pham-chuc-nang,0
2,00047382,"BỔ SUNG VITAMIN D3 HỖ TRỢ XƯƠNG, RĂNG D3 DROPS DAO NORDIC HEALTH 10ML","Dung dịch D3 Drops 10ml Dao Nordic Health bổ sung vitamin D3, hỗ trợ phát triển của xương",thuc-pham-chuc-nang/bo-sung-vitamin-d3-ho-tro-xuong-rang-d3-drops-dao-nordic-health-10-ml.html,270000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_01841_7ea3c478cf.jpg,Vitamin D3 10mcg,Dung dịch,DAO Nordic Health,Hộp,"Thực phẩm chức năng | Cải thiện tăng cường chức năng | Tăng sức đề kháng, miễn dịch",thuc-pham-chuc-nang | thuc-pham-chuc-nang/cai-thien-tang-cuong-chuc-nang | thuc-pham-chuc-nang/ho-tro-mien-dich-tang-suc-de-khang,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/bo-sung-vitamin-d3-ho-tro-xuong-rang-d3-drops-dao-nordic-health-10-ml.html,thuc-pham-chuc-nang,0
3,00046430,"SIRO HO, BỔ PHẾ LÁBEBÉ 120ML","Siro Bổ Phế Lábebé 120ml hỗ trợ bổ phế, giảm ho, giảm đờm, giảm đau họng",thuc-pham-chuc-nang/siro-giup-giam-ho-bo-phe-labebe-120-ml.html,75000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09352_ae155b3fe6.jpg,"Mạch môn 200mg, Cát cánh 90mg, Cam thảo 25mg, Xuyên tâm liên 2.5mg, Dịch chiết lá Thường xuân 9mg, Keo Ong 0.5mg",Siro,LÁBEBÉ,Hộp,"Thực phẩm chức năng | Cải thiện tăng cường chức năng | Tăng sức đề kháng, miễn dịch",thuc-pham-chuc-nang | thuc-pham-chuc-nang/cai-thien-tang-cuong-chuc-nang | thuc-pham-chuc-nang/ho-tro-mien-dich-tang-suc-de-khang,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-giup-giam-ho-bo-phe-labebe-120-ml.html,thuc-pham-chuc-nang,0
4,00045955,VIÊN UỐNG BỔ SUNG CANXI GIÚP XƯƠNG CHẮC KHỎE NUTRIGROW NUTRIMED 60V,"Viên uống NutriGrow Nutrimed bổ sung canxi, vitamin D3, vitamin K2, hấp thu canxi (60 viên)",thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-giup-xuong-chac-khoe-nutrigrow-nutrimed-60-v.html,480000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05520_3e8211d9fa.jpg,"Calcium Citrate 476mg, Calcium Carbonate 375mg, Vitamin D3 200iu, Vitamin K2 30mcg, Dibasic Calcium Phosphate 152mg, Magie oxide 20mg, Kẽm oxide 1.25mg, boron citrate 926mcg, Đồng Oxit 156mcg",Viên nén,NUTRIMED,Hộp 60 Viên,Thực phẩm chức năng | Vitamin & Khoáng chất | Bổ sung Canxi & Vitamin D,thuc-pham-chuc-nang | thuc-pham-chuc-nang/vitamin-khoang-chat | thuc-pham-chuc-nang/canxi-vitamin-D,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-giup-xuong-chac-khoe-nutrigrow-nutrimed-60-v.html,thuc-pham-chuc-nang,0
5,00045954,VIÊN UỐNG BỔ SUNG VITAMIN VÀ KHOÁNG CHẤT EASYLIFE IMMUVITA 100V,"Viên uống Immuvita Easylife bổ sung vitamin và khoáng chất cho cơ thể, tăng sức khỏe (100 viên)",thuc-pham-chuc-nang/vien-uong-bo-sung-vitamin-va-khoang-chat-easylife-immuvita-100-v.html,390000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05505_4c243a16f9.jpg,"Canxi hydrogen phosphat , Magie oxide , Canxi carbonat , Vitamin C , Vitamin E , Niacin , Sắt fumarate , Panthothenic Acid , Lutein , Vitamin A , Đồng sulfat , Kẽm (kẽm oxit) , Mangane Sulphate , Vitamin D3 , Vitamin B6 , Vitamin K1 , Vitamin B2 , Vitamin B1 , Coenzyme Q10 , Vitamin B12 , Folic Acid , Crom (III) Chloride , Kali lodide , Natri Molybdate , Natri selenite , Biotin ",Viên nén,EASYLIFE,Hộp 100 Viên,Thực phẩm chức năng | Vitamin & Khoáng chất | Vitamin tổng hợp,thuc-pham-chuc-nang | thuc-pham-chuc-nang/vitamin-khoang-chat | thuc-pham-chuc-nang/vitamin-tong-hop,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-vitamin-va-khoang-chat-easylife-immuvita-100-v.html,thuc-pham-chuc-nang,0
6,00045449,ỐNG UỐNG CANXI-D3-K2 KINGPHAR 6X5 ỐNG,Siro ống uống Canxi-D3-K2 5ml Kingphar bổ sung canxi & vitamin D3 cho cơ thể (6 vỉ x 5 ống),thuc-pham-chuc-nang/siro-bo-sung-canxi-d3-k2-kingphar-6-x5-ong.html,105000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04874_6c29236c37.jpg,"Calci glucoheptonat 550mg, Vitamin D3 100iu, Vitamin K2 10mcg",Hỗn dịch,Kingphar,Hộp 6 Vỉ x 5 Ống,Thực phẩm chức năng | Vitamin & Khoáng chất | Bổ sung Canxi & Vitamin D,thuc-pham-chuc-nang | thuc-pham-chuc-nang/vitamin-khoang-chat | thuc-pham-chuc-nang/canxi-vitamin-D,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-bo-sung-canxi-d3-k2-kingphar-6-x5-ong.html,thuc-pham-chuc-nang,0
7,00045391,SIRO BRAUER BABY KIDS D3+K2 HIGH POTENCY MK-7 DROPS 10ML,Siro Brauer Baby Kids D3+k2 High Potency MK-7 Drops 10ml bổ sung vitamin D3 và vitamin K2,thuc-pham-chuc-nang/siro-brauer-baby-kids-d3-k2-high-potency-mk-7-drops-10-ml.html,396000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04996_7d25dc3860.jpg,"Vitamin K2 11.25mcg, Vitamin D3 5mcg",Dung dịch uống,Brauer,Hộp,Thực phẩm chức năng | Vitamin & Khoáng chất,thuc-pham-chuc-nang | thuc-pham-chuc-nang/vitamin-khoang-chat,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-brauer-baby-kids-d3-k2-high-potency-mk-7-drops-10-ml.html,thuc-pham-chuc-nang,0
8,00045385,SIRO TĂNG CƯỜNG SỨC ĐỀ KHÁNG VÀ CHIỀU CAO CHO TRẺ KID GROW KENKO 100ML,Thực phẩm bảo vệ sức khỏe KID GROW Kenko tăng cường sức đề kháng và chiều cao cho trẻ,thuc-pham-chuc-nang/siro-tang-cuong-suc-de-khang-va-chieu-cao-cho-tre-kid-grow-kenko-100-ml.html,480000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05045_e0f976ccc5.jpg,"Inulin 1500mg, Mật ong 1350mg, Oligosaccharide 450mg, Magie clorua 62.85mg, Vitamin C 30mg, Sodium Ferrous Citrat 22.5mg, Canxi lactate 20.55mg, Acid folic 7.5mg, Vitamin A 3.09mg, Kẽm 1.5mg, Actobacillus 1.5mg, Hoa cúc tím 0.75mg, Quả la hán 0.75mg, Vitamin D3 0.705mg, Vitamin B12 0.6mg, Vitamin B2 0.45mg, Vitamin B6 0.375mg, Vitamin B1 0.3mg, Dầu cá tinh luyện 0.15mg",Siro,KENKO,Hộp x 100ml,Thực phẩm chức năng | Cải thiện tăng cường chức năng,thuc-pham-chuc-nang | thuc-pham-chuc-nang/cai-thien-tang-cuong-chuc-nang,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-tang-cuong-suc-de-khang-va-chieu-cao-cho-tre-kid-grow-kenko-100-ml.html,thuc-pham-chuc-nang,0
9,00045384,"VIÊN UỐNG HỖ TRỢ NÃO BỘ, THỊ LỰC VÀ SỨC KHOẺ TIM MẠCH OMEGA 3 PLUS KENKO 120V","Thực phẩm bảo vệ sức khỏe OMEGA 3 PLUS Kenko hỗ trợ não bộ, thị lực và sức khoẻ tim mạch (120 viên)",thuc-pham-chuc-nang/vien-uong-ho-tro-nao-bo-thi-luc-va-suc-khoe-tim-mach-omega-3-plus-kenko-120-v.html,920000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05020_ce6da165fb.jpg,"Dầu hạt lanh 580mg, Omega 3 360mg, Hạt Tía Tô 183.2mg, Dầu nhuyễn thể 12mg, Vitamin E 12mg, Chiết xuất vi tảo lục 0.4mg, Nattokinase 0.4mg",Viên nang mềm,KENKO,Hộp 120 Viên,Thực phẩm chức năng | Cải thiện tăng cường chức năng,thuc-pham-chuc-nang | thuc-pham-chuc-nang/cai-thien-tang-cuong-chuc-nang,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-ho-tro-nao-bo-thi-luc-va-suc-khoe-tim-mach-omega-3-plus-kenko-120-v.html,thuc-pham-chuc-nang,0
10,00045381,VIÊN UỐNG BỔ NÃO GINKGO 120 PREMIUM OMEXXEL 60V,Viên uống Omexxel Ginkgo 120 Premium hỗ trợ tốt cho não và tim mạch (60 viên),thuc-pham-chuc-nang/vien-uong-bo-nao-ginkgo-120-premium-omexxel-60-v.html,788000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09431_43751644ff.jpg,"Bạch quả 120mg, Nhân Sâm 100mg, Coenzym Q10 30mg, magnesi 28mg, Canxi 27mg, Kẽm 15mg, Vitamin PP 20mg, Vitamin B6 2mg, Vitamin B5 5mg, Vitamin B1 2mg, Vitamin B2 1mg, Vitamin D3 10mcg",Viên nang cứng,OMEXXEL,Hộp 60 Viên,Thực phẩm chức năng | Thần kinh não | Bổ não - cải thiện trí nhớ,thuc-pham-chuc-nang | thuc-pham-chuc-nang/than-kinh-nao | thuc-pham-chuc-nang/bo-nao-cai-thien-tri-nho,True,True,110,0,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-nao-ginkgo-120-premium-omexxel-60-v.html,thuc-pham-chuc-nang,0
